q,開始日時,返却日時,利用料金,開始ステーション名,返却ステーション名
0,2022-04-01 00:03:15,2022-04-01 00:11:02,77,研究学園駅,東光台東交差点（BLANDE研究学園店）
1,2022-04-01 08:04:31,2022-04-01 13:29:23,77,二の宮公園,つくば駅（中央公園）
2,2022-04-01 08:30:51,2022-04-01 08:34:19,77,研究学園駅,つくば市役所
3,2022-04-01 08:45:58,2022-04-01 08:56:05,77,つくば駅（中央公園）,二の宮公園
4,2022-04-01 09:28:40,2022-04-01 09:37:33,77,研究学園駅,東光台東交差点（BLANDE研究学園店）
5,2022-04-01 09:32:40,2022-04-01 09:43:12,77,二の宮公園,つくば駅（中央公園）
6,2022-04-01 10:29:31,2022-04-01 16:09:59,1500,ファミリーマートつくば葛城店,つくば駅（中央公園）
7,2022-04-01 10:41:59,2022-04-01 10:50:02,77,イーアスつくば,東光台東交差点（BLANDE研究学園店）
8,2022-04-01 11:42:58,2022-04-01 14:53:59,1001,つくば駅（中央公園）,カスミ筑波大学店
9,2022-04-01 12:43:47,2022-04-01 12:54:52,77,カスミ筑波大学店,つくば駅（中央公園）
10,2022-04-01 12:44:15,2022-04-01 14:10:03,462,デイズタウン,研究学園駅
11,2022-04-01 13:06:02,2022-04-01 13:16:35,77,東光台東交差点（BLANDE研究学園店）,研究学園駅
12,2022-04-01 13:12:23,2022-04-01 13:22:33,77,イーアスつくば,ZOZOBASEつくば１
13,2022-04-01 13:17:13,2022-04-01 13:25:54,77,つくば市役所,ZOZOBASEつくば１
14,2022-04-01 13:25:32,2022-04-01 14:47:01,462,つくば駅（中央公園）,つくば駅（中央公園）
15,2022-04-01 13:33:57,2022-04-01 22:27:49,1808,研究学園駅,研究学園駅
16,2022-04-01 15:20:48,2022-04-01 15:28:20,77,研究学園駅,東光台東交差点（BLANDE研究学園店）
17,2022-04-01 15:58:36,2022-04-01 16:44:45,308,デイズタウン,つくば駅（中央公園）
18,2022-04-01 16:20:46,2022-04-01 17:29:15,385,つくば駅（中央公園）,つくば駅（中央公園）
19,2022-04-01 16:50:21,2022-04-01 17:09:33,154,ZOZOBASEつくば１,LALAガーデンつくば
20,2022-04-01 17:02:33,2022-04-01 17:13:11,77,カスミ筑波大学店,つくば駅（中央公園）
21,2022-04-01 17:02:59,2022-04-01 17:14:34,77,ZOZOBASEつくば１,イーアスつくば
22,2022-04-01 17:07:38,2022-04-01 17:32:35,154,二の宮公園,つくば駅（中央公園）
23,2022-04-01 17:34:14,2022-04-01 18:50:09,462,デイズタウン,デイズタウン
24,2022-04-01 17:40:22,2022-04-01 18:07:46,154,カスミフードスクエア学園の森店,研究学園駅
25,2022-04-01 17:43:06,2022-04-01 17:57:05,77,カスミフードスクエア学園店,LALAガーデンつくば
26,2022-04-01 17:54:02,2022-04-01 18:06:59,77,カスミ筑波大学店,イーアスつくば
27,2022-04-01 19:43:41,2022-04-01 19:59:05,154,イーアスつくば,カスミフードスクエア学園の森店
28,2022-04-01 19:44:50,2022-04-01 20:03:10,154,二の宮公園,二の宮公園
29,2022-04-01 21:23:29,2022-04-01 21:52:38,154,イーアスつくば,イーアスつくば
30,2022-04-01 21:31:02,2022-04-01 21:40:56,77,研究学園駅,東光台東交差点（BLANDE研究学園店）
31,2022-04-01 21:48:12,2022-04-01 21:55:30,77,東光台東交差点（BLANDE研究学園店）,研究学園駅
32,2022-04-01 21:48:57,2022-04-01 22:04:53,154,つくば駅（中央公園）,松代ショッピングセンター
33,2022-04-01 22:10:25,2022-04-01 22:17:47,77,研究学園駅,東光台東交差点（BLANDE研究学園店）
34,2022-04-01 22:14:55,2022-04-01 22:19:44,77,東光台東交差点（BLANDE研究学園店）,つくば市役所
35,2022-04-01 22:50:58,2022-04-01 22:57:08,77,イーアスつくば,研究学園駅
36,2022-04-01 23:48:55,2022-04-02 00:00:37,77,つくば駅（中央公園）,カスミ筑波大学店
37,2022-04-01 23:56:58,2022-04-02 00:05:15,77,研究学園駅,MeeToco 筑波ハム
